"","species_2025","occurences_2025"
"1","ABIEAMA",21
"2","ABIEGRA",3
"3","ABIELAS",48
"4","ACERCIR",6
"5","ACERGLA",5
"6","ACHIMIL",17
"7","ACONCOL",1
"8","ACTARUB",9
"9","ADENBIC",1
"10","AGOSAUR",5
"11","ALNUCRI",5
"12","ALNUINC",1
"13","AMELALN",21
"14","ANAPMAR",4
"15","ANEMGRA",7
"16","ANGEARG",8
"17","ANGEGEN",1
"18","ANTEALP",1
"19","ANTELAN",12
"20","ANTENARIA SP.",3
"21","ANTERAC",2
"22","ANTEROS",4
"23","ANTIOCC",2
"24","AQUIFOR",4
"25","ARCTUVA",9
"26","ARENCAP",1
"27","ARNICOR",24
"28","ARNILAT",39
"29","ARNIMOL",3
"30","ARNIPAR",10
"31","ASARCAU",1
"32","ASTERACEAE SP.",8
"33","ATHYFIL",4
"34","BEUCHERA SP.",1
"35","BISTVIV",1
"36","BOECSTR",1
"37","CALTHA SP.",1
"38","CASSMER",5
"39","CASTELLIJA SP.",18
"40","CASTPAR",3
"41","CEANVEL",3
"42","CHAMANG",28
"43","CHAMLAT",1
"44","CHIMMEN",9
"45","CHIMUMB",21
"46","CIRSEDU",1
"47","CIRSIUM SP.",3
"48","CLAYPER",1
"49","CLINUNI",20
"50","CORATRI",1
"51","CORNCAN",13
"52","CORNSER",3
"53","CORYCOR",1
"54","CYSTFRA",1
"55","DRABA SP.",1
"56","DRYAOCT",2
"57","DRYMGLA",2
"58","DRYMPSE",1
"59","EMPENIG",3
"60","EPILCIL",1
"61","EPILGLA",2
"62","EPILLEP",2
"63","EQUIARV",4
"64","EQUIBRA",2
"65","EQUISETUM SP.",5
"66","EREMCAP",15
"67","ERIGAUR",6
"68","ERIGCOM",3
"69","ERIGGLA",13
"70","ERIOOVA",1
"71","ERIOUMB",6
"72","ERYTGRA",15
"73","EURYCON",5
"74","FIGWORT SP.",1
"75","FRAGVES",1
"76","FRAGVIR",21
"77","GALIAPA",3
"78","GALITRF",8
"79","GAULOVA",6
"80","GENTAMA",2
"81","GOODOBL",32
"82","GYMNDRY",4
"83","HERAMAX",12
"84","HEUCCYL",2
"85","HIERACIUM SP.",8
"86","HIERALB",19
"87","HIERTRI",7
"88","HIERUMB",2
"89","HOLODIS",3
"90","HYDRFEN",3
"91","HYPOMON",2
"92","JUNICOM",12
"93","LEPTPYR",2
"94","LILICOL",8
"95","LINNBOR",13
"96","LOMATEUM SP.",1
"97","LONICIL",1
"98","LONIINV",12
"99","LONIUTA",26
"100","LUETPEC",7
"101","LUPIARC",36
"102","LUPILYA",3
"103","LYSILAT",2
"104","MAHOAQU",2
"105","MAHONER",8
"106","MAIARAC",12
"107","MAIASTE",6
"108","MENZFER",4
"109","MICROCC",1
"110","MICRODO",3
"111","MINURUB",3
"112","MITELLA SP.",11
"113","MOEHMAC",10
"114","MYSTERY PARSLEY SP.",1
"115","NEOTBAN",9
"116","NEOTCOR",8
"117","ONAGRACEAE SP.",1
"118","OPLOHOR",1
"119","ORTHSEC",34
"120","OSMOCHI",11
"121","OSMOPUR",5
"122","OZOMTRI",1
"123","PACKCAN",2
"124","PARNFIM",3
"125","PAXIMYR",40
"126","PECTBRE",3
"127","PECTPEN",1
"128","PEDIBRA",19
"129","PEDIRAC",20
"130","PENSDAV",2
"131","PENSFRU",3
"132","PENSPRO",12
"133","PENSSER",1
"134","PETAFRI",1
"135","PHLODIF",16
"136","PHYLEMP",10
"137","PHYLGLA",3
"138","PICEENG",39
"139","PINUALB",11
"140","PINUCON",13
"141","PINUMON",3
"142","PLATANTHERA SP.",1
"143","PLATDIL",2
"144","PLATSTR",5
"145","POLEMONIUM SP.",1
"146","POLEPUL",2
"147","POLYLON",1
"148","POPUBAL",1
"149","POPUTRI",2
"150","POTEFLA",15
"151","POTEGLU",6
"152","POTENTILLA SP.",2
"153","POTEUNIF",1
"154","PROSHOO",1
"155","PROSTRA",1
"156","PSEUMEN",18
"157","PULSOCC",9
"158","PYROASA",20
"159","PYROCHL",2
"160","PYROPIC",6
"161","RANUESC",2
"162","RANUNCULUS SP.",1
"163","RANUUNC",1
"164","RHODALB",22
"165","RHODMAC",7
"166","RIBEACE",11
"167","RIBELAC",23
"168","RIBEVIS",5
"169","ROSA SP.",3
"170","ROSAGYM",4
"171","ROSANUT",2
"172","RUBULAS",5
"173","RUBUPAR",13
"174","RUBUPED",19
"175","RUBUSPE",1
"176","SALINIV",1
"177","SALIX SP.",14
"178","SAXIAUS",4
"179","SAXIFRAGE SP.",1
"180","SEDUDIV",3
"181","SEDULAN",11
"182","SEDUM SP.",3
"183","SENETRI",7
"184","SHEPCAN",2
"185","SIBBPRO",1
"186","SILEACA",1
"187","SILEMEN",1
"188","SILEPAR",10
"189","SOLIMUL",3
"190","SORBSCO",25
"191","SORBSIT",17
"192","SPIREA SP.",2
"193","SPIRLUC",22
"194","STREAMP",7
"195","STRELAN",12
"196","STREPTOPUS SP.",1
"197","SYMPALB",2
"198","SYMPFOL",21
"199","TARAOFF",1
"200","TAXUBRE",6
"201","THALOCC",24
"202","THUJPLI",11
"203","TIARTRI",19
"204","TONELYA",1
"205","TRIFHYB",1
"206","TROLALB",7
"207","TSUGHET",18
"208","TSUGMER",3
"209","VACCALA",1
"210","VACCCAE",4
"211","VACCDEL",12
"212","VACCINIUM SP.",1
"213","VACCMEM",41
"214","VACCOVL",6
"215","VACCPAR",9
"216","VACCSCO",38
"217","VACCULG",1
"218","VALESIT",33
"219","VERAVIR",18
"220","VEROCUS",11
"221","VEROWOR",2
"222","VIBUEDU",4
"223","VIOLA SP.",24
"224","VIOLGLA",5
"225","VIOLORB",1
"226","VIOLSEM",3
