"PlotNumber","Latitude","Longitude"
"00NCc13",49.2275285482524,-120.96272413177
"00NCe73",49.1228689510519,-120.820036366453
"00NCe74",49.129586676689,-120.816095134472
"00NCe75",49.1318434315633,-120.821260436089
"00NCe76",49.1295648197745,-120.823032821207
"00NCe77",49.0695601291033,-120.905716032925
"00NCe78",49.0861442484695,-120.925851280501
"00NCe79",49.088117621317,-120.944630328754
"00NCe82",49.0446240525405,-120.964625748643
"00NCe83",49.040928495917,-120.972398804319
"00NCe84",49.0404250607478,-120.972419277583
"00NCe85",49.0368680288175,-120.964559221006
"00NCe86",49.0406395925497,-120.980032689017
"00NCe87",49.0314584918895,-120.942095623946
"00NCe89",49.0554966862695,-120.915533153857
"00NCe90",49.0644292061214,-120.892213473388
"00NCe91",49.1166780185398,-120.865192864627
"00NCe92",49.1222915488203,-120.869077581201
"00NCe93",49.1383284354848,-120.848522157277
"00NCe94",49.1422333003982,-120.845171765712
"00NCe95",49.1258538862608,-120.836670229292
"0114791",49.1638298,-120.77230072
"0114792",49.16588973,-120.77870178
"0114793",49.16717147,-120.78029632
"0114794",49.16852951,-120.78150177
"0114795",49.16878128,-120.78160095
"0114796",49.17169952,-120.78489685
"0114797",49.17219924,-120.78949737
"02-3085",49.14056015,-120.76389312
"02-3087",49.1199913,-120.75212097
"02-3088",49.13434982,-120.76452636
"02-3089",49.14989852,-120.75676727
"02-3090",49.1461296,-120.75446319
"035079",49.18056106,-120.96109771
"035179",49.08110809,-120.81279754
"035379",49.08889007,-120.8139038
"12-1929",49.20005416,-120.99827575
"12-2000",49.13544082,-120.76376342
"12-9554",49.0820198,-120.92378234
"12-9555",49.16053009,-120.76473999
"14-4311",49.05760955,-120.72608947
"14-4312",49.05651092,-120.72482299
"14-4313",49.05635833,-120.72499084
"14-4314",49.05464172,-120.72676086
"14-4315",49.05379867,-120.73133087
"14-4316",49.03958129,-120.76468658
"14-4317",49.04946899,-120.76470947
"14-4318",49.10192108,-120.7574768
"14-4319",49.10179138,-120.75527954
"14-4320",49.07690048,-120.77107238
"14-4323",49.16270065,-120.76499938
"14-4324",49.16270065,-120.7649002
"14-4325",49.15930175,-120.77050018
"14-4326",49.1603012,-120.7731018
"14-4347",49.01174163,-120.82393646
"14-4348",49.02001953,-120.80536651
"14-4352",49.01039886,-120.83400726
"14-4353",49.01192855,-120.8272705
"14-4354",49.01340103,-120.81890106
"14-4361",49.15879821,-120.7743988
"14-4382",49.1646614,-120.77905273
"14-4383",49.15822982,-120.77498626
"14-4384",49.15280151,-120.77178955
"14-4385",49.16463088,-120.77757263
"14-4386",49.10020828,-120.7596817
"14-4387",49.09149169,-120.77339935
"14-4388",49.06903839,-120.76203155
"14-4502",49.0223999,-120.82900238
"14-4503",49.02896881,-120.83232879
"14-4504",49.04870986,-120.82266235
"14-4572",49.0553894,-120.72232818
"14-4573",49.07849884,-120.93202972
"14-4575",49.01443862,-120.83383941
"14-4576",49.01496124,-120.83231353
"14-4577",49.14511871,-120.76136016
"14-4584",49.06008148,-120.71710968
"14-4585",49.07535934,-120.76850128
"14-4587",49.0782814,-120.91792297
"14-4588",49.0820198,-120.92365264
"19JCG13",49.11692047,-120.6429367
"19JCG14",49.11307907,-120.64520263
"19JCG15",49.11320114,-120.64414978
"19JCG16",49.11222076,-120.65350341
"19JCG18",49.11236953,-120.65190887
"19JCV17",49.1126213,-120.65438842
"9621336",49.0841320974704,-120.692890301707
"9621340",49.0564956282905,-120.735155003146
"9621341",49.1293679896386,-120.627304089749
"9621342",49.1288600849288,-120.622297130849
"9621354",49.0840037114454,-120.691869010983
"essf85",49.0368680288175,-120.964559221006
"MP 291",49.03950881,-120.87200164
"MP 292",49.03998947,-120.88110351
"MP 293",49.04455947,-120.85169982
"MP 294",49.11808013,-120.86609649
"MP 295",49.11931991,-120.87550354
"MP 296",49.12162017,-120.87310028
"MP 297",49.11734008,-120.87239837
"MP 299",49.04080963,-120.87870025
"MP 281",49.10832977,-120.75830078
"MP 285",49.07500076,-120.77500152
"MP 286",49.07500076,-120.77500152
"MP 287",49.11643981,-120.87020111
"MP 288",49.11574935,-120.86699676
"MP 289",49.04022979,-120.89379882
"MP 290",49.03955841,-120.88819885
"SK93710",49.2147589434701,-121.066062705323
"SK93711",49.2144177198915,-121.067174591221
"SK93721",49.2163286173368,-121.06847331881
"SK93722",49.2173936589752,-121.067607825552
"SK93734",49.1980363763364,-120.992860450015
"SK93735",49.1974826776558,-120.99205921361
"SK93736",49.2019202493209,-120.988584586158
"VV0046",49.07500076,-120.79170227
"VV0047",49.07500076,-120.79170227
"VV0044",49.07500076,-120.79170227
"VV0045",49.07500076,-120.79170227
