"Species","Occurrences"
"ABIEAMA",30
"ABIELAS",85
"ACHIMIL",11
"AMELALN",28
"ANTELAN",15
"AQUIFOR",10
"ARCTUVA",16
"ARNICOR",13
"ARNILAT",35
"BRACHYT",15
"CALARUB",21
"CASSMER",10
"CASTMIN",12
"CHAMANG",19
"CHIMUMB",23
"CLINUNI",31
"CORNCAN",26
"CORNSER",12
"DICRFUS",12
"EQUIARV",11
"EREMCAP",18
"ERIGGLA",14
"EUCEENG",10
"FESTVIR",15
"FRAGVIR",15
"GOODOBL",29
"GYMNDRY",10
"HERAMAX",17
"HIERACIU",10
"HYLOSPL",15
"JUNICOM",14
"LINNBOR",25
"LONIINV",14
"LONIUTA",27
"LUETPEC",14
"LUPIARC",45
"LUZUPAR",23
"MAIARAC",12
"MAIASTE",11
"MENZFER",11
"ORTHSEC",40
"OSMOBER",11
"PAXIMYR",50
"PECTBRE",12
"PEDIBRA",12
"PELTAPH",11
"PHLEALP",11
"PHLODIF",16
"PHYLEMP",17
"PICEENE",75
"PINUALB",22
"PINUCON2",33
"PLEUSCH",33
"POACEAE_",12
"POLYJUN",12
"POLYPIL",11
"POTEFLA",14
"POTEGLU",10
"PSEUMEN1",26
"PULSOCC",13
"PYROASA",24
"RHODALB",25
"RHYTROB",26
"RIBEACE",14
"RIBELAC",23
"RUBUPAR",24
"RUBUPED",26
"SCIUHYL",14
"SEDULAN",12
"SILEPAR",10
"SORBSCO",17
"SORBSIT",11
"SPIRLUC",30
"STREAMP",10
"STRELAN",11
"THALOCC",17
"THUJPLI",14
"TIARTRI2",18
"TRISSPI",13
"TSUGHET",27
"VACCDEL",11
"VACCMEM",54
"VACCPAR",10
"VACCSCO",50
"VAHLATR",13
"VALESIT",45
"VERAVIR",22
"VEROCUS",14
"VIBUEDU",10
"VIOLORB",13
